domain;country;visibility_index
http://irep.ntu.ac.uk/;nl;0.00025
http://irep.ntu.ac.uk/;no;0.0
http://irep.ntu.ac.uk/;pl;5e-05
http://irep.ntu.ac.uk/;pt;0.0
http://irep.ntu.ac.uk/;ro;0.0
http://irep.ntu.ac.uk/;se;0.0001
http://irep.ntu.ac.uk/;si;0.0
http://irep.ntu.ac.uk/;sk;0.0
http://irep.ntu.ac.uk/;tr;0.0001
http://irep.ntu.ac.uk/;uk;0.0267
http://irep.ntu.ac.uk/;us;0.0004
http://nesstar.soc.cas.cz/;at;0.0
http://nesstar.soc.cas.cz/;au;0.0
http://nesstar.soc.cas.cz/;be;0.0
http://nesstar.soc.cas.cz/;bg;0.0
http://nesstar.soc.cas.cz/;br;0.0
http://nesstar.soc.cas.cz/;ca;0.0
http://nesstar.soc.cas.cz/;ch;0.0
http://nesstar.soc.cas.cz/;cz;0.0
http://nesstar.soc.cas.cz/;de;0.0
http://nesstar.soc.cas.cz/;dk;0.0
http://nesstar.soc.cas.cz/;es;0.0
http://nesstar.soc.cas.cz/;fi;0.0
http://nesstar.soc.cas.cz/;fr;0.0
http://nesstar.soc.cas.cz/;gr;0.0
http://nesstar.soc.cas.cz/;hr;0.0
http://nesstar.soc.cas.cz/;hu;0.0
http://nesstar.soc.cas.cz/;ie;0.0
http://nesstar.soc.cas.cz/;it;0.0
http://nesstar.soc.cas.cz/;jp;0.0
http://nesstar.soc.cas.cz/;nl;0.0
http://nesstar.soc.cas.cz/;no;0.0
http://nesstar.soc.cas.cz/;pl;0.0
http://nesstar.soc.cas.cz/;pt;0.0
http://nesstar.soc.cas.cz/;ro;0.0
http://nesstar.soc.cas.cz/;se;0.0
http://nesstar.soc.cas.cz/;si;0.0
http://nesstar.soc.cas.cz/;sk;0.0
http://nesstar.soc.cas.cz/;tr;0.0
http://nesstar.soc.cas.cz/;uk;0.0
http://nesstar.soc.cas.cz/;us;0.0
http://nomisma.org/;at;0.001
http://nomisma.org/;au;0.0
http://nomisma.org/;be;0.0
http://nomisma.org/;bg;0.0
http://nomisma.org/;br;0.0004
http://nomisma.org/;ca;0.0
http://nomisma.org/;ch;0.0016
http://nomisma.org/;cz;0.0
http://nomisma.org/;de;0.0
http://nomisma.org/;dk;0.0
http://nomisma.org/;es;0.0
http://nomisma.org/;fi;0.0
http://nomisma.org/;fr;0.0
http://nomisma.org/;gr;0.0
http://nomisma.org/;hr;0.0
http://nomisma.org/;hu;0.0
http://nomisma.org/;ie;0.0
http://nomisma.org/;it;0.0001
http://nomisma.org/;jp;0.0
http://nomisma.org/;nl;0.0
http://nomisma.org/;no;0.0
http://nomisma.org/;pl;0.0001
http://nomisma.org/;pt;0.0
http://nomisma.org/;ro;0.0
http://nomisma.org/;se;0.0
