domain,category,h_index
https://www.fao.org/,economic,1
https://www.fao.org/,social,1
https://www.fs.usda.gov/,economic,1
https://www.fs.usda.gov/,social,6
https://www.gbif.org/,economic,0
https://www.gbif.org/,social,1
https://www.geodoi.ac.cn/,economic,1
https://www.geodoi.ac.cn/,social,3
https://www.healthaffairs.org/,economic,3
https://www.healthaffairs.org/,social,3
https://www.hepdata.net/,economic,1
https://www.hepdata.net/,social,0
https://www.hydroshare.org/,economic,1
https://www.hydroshare.org/,social,2
https://www.icpsr.umich.edu/,economic,0
https://www.icpsr.umich.edu/,social,1
https://www.integrmed.org/,social,0
https://www.ipums.org/,social,0
https://www.isrctn.com/,economic,1
https://www.isrctn.com/,social,2
https://www.iucnredlist.org/,economic,2
https://www.iucnredlist.org/,social,3
https://www.jsad.com/,economic,0
https://www.jsad.com/,social,1
https://www.jstor.org/,social,0
https://www.knowledgette.com/,economic,0
https://www.knowledgette.com/,social,1
https://www.ldbase.org:443/,social,0
https://www.loebclassics.com/,social,2
https://www.maxwell.vrac.puc-rio.br/,economic,0
https://www.maxwell.vrac.puc-rio.br/,social,0
https://www.morphosource.org/,economic,0
https://www.morphosource.org/,social,0
https://www.namesforlife.com/,social,0
https://www.ncei.noaa.gov/,economic,1
https://www.ncei.noaa.gov/,social,0
https://www.nordicstatistics.org/,economic,1
https://www.nordicstatistics.org/,social,0
https://www.nursa.org/,social,0
https://www.oecd-ilibrary.org/,economic,12
https://www.oecd-ilibrary.org/,social,11
https://www.openicpsr.org/,economic,1
https://www.openicpsr.org/,social,2
https://www.oxfordbibliographies.com/,economic,3
https://www.oxfordbibliographies.com/,social,4
https://www.planthealthexchange.org/,economic,1
https://www.planthealthexchange.org/,social,1
https://www.polardata.ca/,social,0
https://www.protocols.io/,economic,2
https://www.protocols.io/,social,2
https://www.psycharchives.org/,social,0
https://www.repository.cam.ac.uk/,economic,2
https://www.repository.cam.ac.uk/,social,2
https://www.research-collection.ethz.ch/,economic,1
https://www.research-collection.ethz.ch/,social,1
https://www.researchgate.net/,economic,0
https://www.researchgate.net/,social,0
https://www.schwabeonline.ch/,economic,0
https://www.schwabeonline.ch/,social,1
https://www.scidb.cn/,economic,1
https://www.scidb.cn/,social,3
https://www.science.org/,economic,4
https://www.science.org/,social,10
https://www.sciencebase.gov/,economic,0
https://www.sciencebase.gov/,social,2
https://www.seanoe.org/,social,1
https://www.semantics.gr/,social,0
https://www.socialscienceregistry.org/,economic,9
https://www.socialscienceregistry.org/,social,6
https://www.sodha.be/,economic,0
https://www.sodha.be/,social,0
https://www.swissubase.ch/,social,0
https://www.un-ilibrary.org/,economic,0
https://www.un-ilibrary.org/,social,1
https://www.unidata.unimib.it/,economic,0
https://www.unidata.unimib.it/,social,0
https://www.uvm.edu/,economic,0
https://www.uvm.edu/,social,0
https://www.vliz.be/,social,0
https://www.wdc-climate.de/,economic,1
https://www.wdc-climate.de/,social,1
https://www.wider.unu.edu/,economic,0
https://www.wider.unu.edu/,social,0
https://www.worldpop.org/,social,0
https://www.wto-ilibrary.org/,social,0
https://www.youtube.com/,economic,0
https://www.youtube.com/,social,0
https://www.zora.uzh.ch/,economic,0
https://www.zora.uzh.ch/,social,0
https://wyoscholar.uwyo.edu/,social,0
https://zenodo.org/,economic,1
https://zenodo.org/,social,3
